"productos","precio","descripcion","categoria","numero publicacion","numero producto","links","foto","stock","estado stock"
"Tiras Tirantes De Brasier Transparente Invisible X2","1990","Tiras Tirantes De Brasier Transparente Invisible X2 de buena calidad, ideal para uso diario. Producto práctico y funcional.","Sostenes","MLC3202114262","U3479797972","https://articulo.mercadolibre.cl/MLC-3202114262","https://http2.mlstatic.com/D_NQ_NP_2X_879161-MLC94479568615_102025-F.webp","1","Con stock"
"Lentes De Lectura Autofocus Onepower Rango 0.5 A 2.50","2480","Lentes De Lectura Autofocus Onepower Rango 0.5 A 2.50 de buena calidad, ideal para uso diario. Producto práctico y funcional.","Armazones y anteojos sin graduación","MLC2850794054","U3039686049","https://articulo.mercadolibre.cl/MLC-2850794054","https://http2.mlstatic.com/D_NQ_NP_2X_906623-MLC82485424784_022025-F.webp","1","Con stock"
"Soporte Giratorio Base Celular Apoya Celular Escritorio","2790","se envia color a disponibilidad","Accesorios para celulares","MLC2858065332","U3068706075","https://articulo.mercadolibre.cl/MLC-2858065332","https://http2.mlstatic.com/D_NQ_NP_2X_692272-MLC88807007536_082025-F.webp","1","Con stock"
"Gorro Térmico De Aluminio Para Baño De Crema Tratamientos E Color Plateado","1990","Gorro Térmico De Aluminio Para Baño De Crema Tratamientos E Color Plateado'

DESCRIPCIÓN DEL PRODUCTO

Este gorro térmico de aluminio es ideal para aplicar diversos tratamientos capilares. 

Somos BeautyFull, una empresa con experiencia en el sector de la cosmética desde el 2001. Nuestro objetivo es siempre brindar la mejor atención al cliente y un asesoramiento personalizado. 

Nos encontramos en dos ubicaciones convenientes para nuestros clientes. Una cerca del shopping Alto Palermo, cerca de la estación Bulnes de la línea D de subte y la otra en Av. Corrientes y Av. Pueyrredón cerca de la estación Pueyrredón de la línea B y Estación Corrientes de la Línea H.

Nuestro horario de atención es de Lunes a Viernes de 9:30hs a 19:00hs y los Sábados de 10hrs a 16 hrs.

Puedes ver todos nuestros productos en nuestro catálogo online.","Gorros de peluquería","MLC3211382792","U3482023413","https://articulo.mercadolibre.cl/MLC-3211382792","https://http2.mlstatic.com/D_NQ_NP_2X_802210-MLU71846805488_092023-F.webp","1","Con stock"
"Union De Manguera Reparador De Manguera 1/2","1890","Union De Manguera Reparador De Manguera 1/2 de buena calidad, ideal para uso diario. Producto práctico y funcional.","Adaptadores para mangueras","MLC3262875968","U3520385814","https://articulo.mercadolibre.cl/MLC-3262875968","https://http2.mlstatic.com/D_NQ_NP_2X_625407-MLC96266679903_102025-F.webp","1","Con stock"
"Set Tazas Cucharas Medidoras 6 Piezas Cocina Reposteria /e Color Multicolor","1790","Este set incluye 6 Tazas y Cucharas Medidoras de colores variados, ideales para la cocina y repostería. Cada una tiene una capacidad distinta, permitiendo medir con precisión los ingredientes de tus recetas. Las capacidades son las siguientes:

- 1/2 cucharada (7.5 ml)
- 1 cucharada (15 ml)
- 1/4 taza (60 ml)
- 1/3 taza (85 ml)
- 1/2 taza (125 ml)
- 1 taza (250 ml)

El tamaño de cada pieza es de 16.5cm de largo y 8.5cm de ancho, variando la profundidad según la capacidad de la misma.","Sets de cucharas medidoras","MLC2863811610","U3097150272","https://articulo.mercadolibre.cl/MLC-2863811610","https://http2.mlstatic.com/D_NQ_NP_2X_886097-MLA99589721584_122025-F.webp","1","Con stock"
"Hormadores Para Zapatillas","2990","Hormadores Para Zapatillas de buena calidad, ideal para uso diario. Producto práctico y funcional.","Hormas para calzado","MLC1594748865","U3105216769","https://articulo.mercadolibre.cl/MLC-1594748865","https://http2.mlstatic.com/D_NQ_NP_2X_843767-MLC83271791196_042025-F.webp","1","Con stock"
"Set Colet Niña 20 Unidades 4 Cm Negro","1790","Incluye 20 colets negro","Gomitas para el pelo","MLC1596924395","U3115209999","https://articulo.mercadolibre.cl/MLC-1596924395","https://http2.mlstatic.com/D_NQ_NP_2X_638467-MLC83390559572_042025-F.webp","1","Con stock"
"Pinzas Destapa Cañerias Desague Saca Pelos Lavamanos","2490","Pinza flexible destapacañerias baño, cocina. Mide 40 cm de largo con pinzas metalicas de fuerte apriete. Ideal para dacar pelos de ducha y cañerias o limpiar basuras.

Perfecto para cocina, lavamanos, inodoro, desagüe de ducha, herramienta práctica para agarrar cualquier artículo, basura o objetos perdido debajo de la estufa, refrigerador, electrodomésticos, muebles o cualquier otro lugar al que es difícil acceder. Ayuda a desatascar el cabello de los desagües, a levantar fácilmente las llaves, clavos, Tornillos, pernos y tuercas que caen en el suelo y no son fácilmente accesibles.","Herramientas y artículos de construcción","MLC2852380316","U3044840693","https://articulo.mercadolibre.cl/MLC-2852380316","https://http2.mlstatic.com/D_NQ_NP_2X_847063-MLC89402402013_082025-F.webp","1","Con stock"
"Calzador De Zapato Colores Surtidos","1990","incluye 1 calzador de color a disponibilidad

COMERCIALIZADORA CATU SPA","Calzadores de zapatos","MLC2854232428","U3059116912","https://articulo.mercadolibre.cl/MLC-2854232428","https://http2.mlstatic.com/D_NQ_NP_2X_755046-MLC82944030069_032025-F.webp","1","Con stock"
"Organizador De Baño De Algodón Acrílico Con Tapa","3590","Organizador De Baño De Algodón Acrílico Con Tapa de buena calidad, ideal para uso diario. Producto práctico y funcional.","Portahisopos y algodón","MLC2864234254","U3098331048","https://articulo.mercadolibre.cl/MLC-2864234254","https://http2.mlstatic.com/D_NQ_NP_2X_625759-MLC83413936171_032025-F.webp","1","Con stock"
"Bebe A Bordo Letrero Sticker Seguridad Auto Seguridad","2390","Bebe A Bordo Letrero Sticker Seguridad Auto Seguridad de buena calidad, ideal para uso diario. Producto práctico y funcional.","Stickers","MLC3124361788","U3411072868","https://articulo.mercadolibre.cl/MLC-3124361788","https://http2.mlstatic.com/D_NQ_NP_2X_779149-MLC91869607993_092025-F.webp","1","Con stock"
"Colgante Carcasa Celular Universal Diseño Cordón Celeste","2990","Colgante Carcasa Celular Universal Diseño Cordón Celeste de buena calidad, ideal para uso diario. Producto práctico y funcional.","Accesorios para celulares","MLC1600051415","U3130218153","https://articulo.mercadolibre.cl/MLC-1600051415","https://http2.mlstatic.com/D_NQ_NP_2X_743172-MLC83882537303_042025-F.webp","1","Con stock"
"Goma Eva 20x30 Cm Escarchado Paquete 6 Uni Con Adhesivo","2290","Incluye 6 laminas de goma eva de colores diferentes 20 x 30 con glitter y adhesivo

colores:
* azul
* rojo
* amarillo
* plateado
* negro
* blanco","Glitters para artesanías","MLC2899190718","U3185537443","https://articulo.mercadolibre.cl/MLC-2899190718","https://http2.mlstatic.com/D_NQ_NP_2X_971217-MLC85023577287_052025-F.webp","1","Con stock"
"Chinchetas Chinches Transparente 40 Pcs","1760","incluye

40 piezas de chinchetas","Tachuelas y chinches","MLC2863875358","U3097054180","https://articulo.mercadolibre.cl/MLC-2863875358","https://http2.mlstatic.com/D_NQ_NP_2X_974431-MLC83103240298_032025-F.webp","1","Con stock"
"Delineador Gel Negro A Prueba De Agua De Beauty Creations","4590","Resaltar tu mirada será mucho más fácil con el delineador Beauty Creations. En salidas con amigos, en el trabajo o en la universidad, lucí lo mejor de tus ojos en cualquier lugar.

Destacá tu mirada
El delineador en gel tiene un alto contenido graso, lo que evitará que te manches al colocarlo. Además, te dará un color duradero y de alto impacto, lo que lo convierte en el complemento perfecto para los días largos fuera de casa.

El delineado perfecto
Definí tus ojos en un solo trazo y olvidate de retocar con este delineador de larga duración. No se corre, no mancha ni se desvanece gracias a su fórmula resistente a la humedad y a la actividad constante. ¿Te preocupan los días largos o de mucho calor porque se te borra el maquillaje? Conseguí una mirada firme con este delineador a prueba de agua. Dejá de pensar en las manchas indeseadas; sólo saldrá cuando quieras quitártelo.","Delineadores para ojos","MLC2914939230","U3055667525","https://articulo.mercadolibre.cl/MLC-2914939230","https://http2.mlstatic.com/D_NQ_NP_2X_663003-MLU54981537238_042023-F.webp","1","Con stock"
"Set De Paletas De Ping Pong + 3 Pelotas","3790","Set De Paletas De Ping Pong + 3 Pelotas de buena calidad, ideal para uso diario. Producto práctico y funcional.","Paletas de ping pong","MLC1594987339","U3111866656","https://articulo.mercadolibre.cl/MLC-1594987339","https://http2.mlstatic.com/D_NQ_NP_2X_757952-MLC83574489235_042025-F.webp","1","Con stock"
"Timbre Fecha Completa + Almohadilla Tinta Tinta Negro Exterior Gris","2990","Este timbre es un fechador práctico que permite mantener un registro claro y organizado en documentos importantes. La almohadilla de tinta incluida asegura que cada impresión sea nítida y duradera, eliminando la necesidad de recargas frecuentes. Su diseño compacto y funcional se adapta a cualquier espacio de trabajo, brindando comodidad y facilidad de uso.","Timbres de goma","MLC2863874898","U3097028270","https://articulo.mercadolibre.cl/MLC-2863874898","https://http2.mlstatic.com/D_NQ_NP_2X_976936-MLA80893508302_122024-F.webp","1","Con stock"
"Organizador De Labiales Porta Labiales 24 Espacios","3690","Organizador De Labiales Porta Labiales 24 Espacios de buena calidad, ideal para uso diario. Producto práctico y funcional.","Organizadores de maquillaje","MLC2869598114","U3112892171","https://articulo.mercadolibre.cl/MLC-2869598114","https://http2.mlstatic.com/D_NQ_NP_2X_858555-MLC83360191268_042025-F.webp","1","Con stock"
"Talonera Ortopédica Para Espolón Plantilla Unisex","3990","Talonera Ortopédica Para Espolón Plantilla Unisex de buena calidad, ideal para uso diario. Producto práctico y funcional.","Plantillas ortopédicas","MLC3188723456","U3459311562","https://articulo.mercadolibre.cl/MLC-3188723456","https://http2.mlstatic.com/D_NQ_NP_2X_656511-MLC93435489338_092025-F.webp","1","Con stock"
"Ejercitador De Dedos Mano, Fortalecedor De Dedos","2990","Ejercitador De Dedos Mano, Fortalecedor De Dedos de buena calidad, ideal para uso diario. Producto práctico y funcional.","Hand grips","MLC2868320014","U3113606164","https://articulo.mercadolibre.cl/MLC-2868320014","https://http2.mlstatic.com/D_NQ_NP_2X_769731-MLC83598983313_042025-F.webp","1","Con stock"
"Placa Dental Bruxismo Moldeable Deportes Anti Bruxismo","2690","Placa Dental Bruxismo Moldeable Deportes Anti Bruxismo de buena calidad, ideal para uso diario. Producto práctico y funcional.","Artículos de belleza y cuidado personal","MLC3188786570","U3452292685","https://articulo.mercadolibre.cl/MLC-3188786570","https://http2.mlstatic.com/D_NQ_NP_2X_608520-MLC93847813165_092025-F.webp","1","Con stock"
"Mando Inalámbrico Genérico Bluetooth Para Pc","29990","Este Joystick funciona para PC y otros dispositivos","Gamepads y joysticks","MLC2857756248","","https://articulo.mercadolibre.cl/MLC-2857756248","https://http2.mlstatic.com/D_NQ_NP_2X_983891-MLC83105300599_032025-F-mando-inalambrico-generico-bluetooth-para-pc.webp","1","Con stock"
"     Mando Inalámbrico Genérico Bluetooth Para Pc","29990","Este Joystick funciona para PC y otros dispositivos","Gamepads y joysticks","MLC2857756248","187228788009","https://articulo.mercadolibre.cl/MLC-2857756248","https://http2.mlstatic.com/D_NQ_NP_2X_983891-MLC83105300599_032025-F-mando-inalambrico-generico-bluetooth-para-pc.webp","1","Con stock"
"Set De 2 Borlas Triangulares Beauty Creations Puff Puff Rosa Mediana","3290","Set de 2 borlas suaves y reutilizables para aplicar polvos sueltos o compactos con un acabado impecable.

Cómo utilizar:

Deslice los dedos en la banda de la cinta. Sumerja el soplo en el polvo y dé palmaditas en el área deseada para aplicar el polvo de manera uniforme. Aplica polvo suelto o compacto, para sellar productos o realizar técnica de horneado.

DETALLES:
- Juego de borlas triangulares para polvos.
- Incluye 2 Unidades.
- Sin látex.
- Tela de terciopelo.
- Reutilizable.
- Ultra suave.
- Perfecto para aplicar polvos sueltos y compactos.
- Aplicación impecable.
- Lavar a mano y secar al aire.","Esponjas de maquillaje","MLC2914736562","U3227364435","https://articulo.mercadolibre.cl/MLC-2914736562","https://http2.mlstatic.com/D_NQ_NP_2X_748402-MLA92605192029_092025-F.webp","1","Con stock"
"Caja Organizadora Plástica Multipropósito 15 Compartimientos","1990","caja organizadora con 15 compartimientos re-organizables","Cajas decorativas y organizadoras","MLC3262927190","U3513216509","https://articulo.mercadolibre.cl/MLC-3262927190","https://http2.mlstatic.com/D_NQ_NP_2X_908560-MLC96261824461_102025-F.webp","1","Con stock"
"Lima Sponge 100/180 Rosa Azul","1590","La Lima Sponge 100/180 en colores rosa y azul de la marca Keke es la herramienta ideal para quienes buscan un acabado perfecto en sus uñas. Su diseño en forma de diamante y su gramaje de 100/180 la convierten en una opción versátil para el limado y pulido, adaptándose a diferentes necesidades de manicura y pedicura.

Este producto es perfecto tanto para profesionales como para aficionados al cuidado de las uñas. Su superficie plana permite un control preciso, facilitando la creación de formas y el alisado de bordes. Además, su atractivo colorido añade un toque de estilo a tu kit de belleza.

La Lima Sponge es fácil de manejar y se adapta cómodamente a la mano, lo que la hace ideal para sesiones prolongadas de cuidado personal. Su durabilidad asegura que podrás disfrutar de su rendimiento durante múltiples usos, convirtiéndola en una inversión inteligente para tu rutina de belleza. 

No dejes pasar la oportunidad de mejorar tu experiencia de manicura con esta herramienta esencial. La Lima Sponge 100/180 es un complemento que no puede faltar en tu colección de productos de belleza.","Limas de uñas","MLC1607617349","U3112914955","https://articulo.mercadolibre.cl/MLC-1607617349","https://http2.mlstatic.com/D_NQ_NP_2X_927587-MLA92199765908_092025-F.webp","1","Con stock"
"Embudo Plegable De Silicona Portátil Multiuso Cocina Hogar","1680","Embudo plegable de silicona con diseño que permite reducir su tamaño para facilitar su almacenamiento y transporte.

Adecuado para verter líquidos o ingredientes secos, cuenta con una lengüeta de soporte para mantenerse firme en botellas o recipientes.

Características

-Material: silicona
-Medidas:
 Extendido: 9x8cm (diámetro x alto)
 Plegado: 9 x 2.5cm (diámetro x alto)
 Boquilla: 1.5cm (diámetro)
-Color: Rojo, verde o azul (se envía según disponibilidad)
-Apto para uso alimentario, no tóxico, sin olor, flexible y resistente al aceite.","Embudos de cocina","MLC2863226452","U3089797053","https://articulo.mercadolibre.cl/MLC-2863226452","https://http2.mlstatic.com/D_NQ_NP_2X_718599-MLA94046245630_102025-F.webp","1","Con stock"
"Par Soporte Escuadra Metal Para Repisa Estante 10 Cm X 12 Cm","1990","Incluye 2 angulos metalicos 10 x 12 cm, ademas tambien incluye 6 tarugo.","Repisas","MLC2912245834","U3223482181","https://articulo.mercadolibre.cl/MLC-2912245834","https://http2.mlstatic.com/D_NQ_NP_2X_973911-MLC93071147474_092025-F.webp","1","Con stock"
"Perros De Ropa Pinzas Ropa Colgador De Ropa Madera 20und","1190","incluye 20 unidades de pinza de ropa cada venta","Pinzas para colgar ropa","MLC1581980375","U3048853988","https://articulo.mercadolibre.cl/MLC-1581980375","https://http2.mlstatic.com/D_NQ_NP_2X_671654-MLC82529667528_032025-F.webp","1","Con stock"
"Soporte Ajustable De Celular Y Tablet Giro 360° Asiento","6980","INCLUYE

1 Soporte Ajustable De Celular Y Tablet Giro 360° Asiento


COMERCIALIZADORA CATU SPA","Soportes para tablets","MLC2853793326","U3057111618","https://articulo.mercadolibre.cl/MLC-2853793326","https://http2.mlstatic.com/D_NQ_NP_2X_787488-MLC92247187818_092025-F.webp","1","Con stock"
"Paño Microfibra 30x30 Cm Pulir Secar Polvo Autos Motos Pisos Surtidos","1990","Paño Microfibra 30x30 Cm Pulir Secar Polvo Autos Motos Pisos Surtidos de buena calidad, ideal para uso diario. Producto práctico y funcional.","Paños de limpieza","MLC2901721238","U3111448874","https://articulo.mercadolibre.cl/MLC-2901721238","https://http2.mlstatic.com/D_NQ_NP_2X_651197-MLA99840016705_112025-F.webp","1","Con stock"
"Pack De 2 Piedras Pómez Para Manos Y Pies","1990","INCLUYE 2 PIEDRA POMEZ","Piedras pómez para piel","MLC2854644920","U3060485048","https://articulo.mercadolibre.cl/MLC-2854644920","https://http2.mlstatic.com/D_NQ_NP_2X_693009-MLC92705171727_092025-F.webp","1","Con stock"
"Set Colet Niña 20 Unidades 4 Cm Colores","1790","Incluye 20 colets colores vivos","Gomitas para el pelo","MLC2870420166","U3115220327","https://articulo.mercadolibre.cl/MLC-2870420166","https://http2.mlstatic.com/D_NQ_NP_2X_833301-MLC83682700439_042025-F.webp","1","Con stock"
"Adorno Guirnaldas Fiestas Patrias Copihues Tricolor","2290","Adorno Guirnaldas Fiestas Patrias Copihues Tricolor de buena calidad, ideal para uso diario. Producto práctico y funcional.","Banderines y guirnaldas decorativas","MLC2967745844","U3289192439","https://articulo.mercadolibre.cl/MLC-2967745844","https://http2.mlstatic.com/D_NQ_NP_2X_941906-MLC87470740488_072025-F.webp","1","Con stock"
"Serum Facial Vitamina C Con Acido Hialurónico 30ml Momento De Aplicación Día/noche Tipo De Piel Todo Tipo De Piel","3690","Flower Secret es una marca que ofrece una variedad de productos para el cuidado de la piel facial. Si buscas protegerla y mantenerla en forma, esta puede ser una buena opción.

Libre de parabenos
Los productos libres de parabenos son una buena opción para el cuidado de pieles sensibles o para quienes eligen productos sin conservantes artificiales.","Productos para el cuidado facial","MLC1595417081","U3097210672","https://articulo.mercadolibre.cl/MLC-1595417081","https://http2.mlstatic.com/D_NQ_NP_2X_658168-MLA95089207721_102025-F.webp","1","Con stock"
"Botella Dispensadora 50ml 3 Unidades","1990","Botella Dispensadora 50ml 3 Unidades de buena calidad, ideal para uso diario. Producto práctico y funcional.","Botellas deportivas y de bazar","MLC1597922299","U3125478318","https://articulo.mercadolibre.cl/MLC-1597922299","https://http2.mlstatic.com/D_NQ_NP_2X_836898-MLC83452565972_042025-F.webp","1","Con stock"
"Cepillo Silicona Masajeador De Cabello Color Surtido","2590","Descubre el innovador Cepillo Silicona Masajeador De Cabello, diseñado para ofrecerte una experiencia única de cuidado capilar. Este cepillo, de la reconocida marca Keke, está fabricado con un cuerpo de plástico resistente y cerdas de silicona que proporcionan un suave masaje en el cuero cabelludo, estimulando la circulación sanguínea y promoviendo un cabello más saludable. Su forma ovalada se adapta perfectamente a la cabeza, facilitando el desenredado y el peinado. Con un mango ergonómico de plástico, este cepillo es fácil de manejar y cómodo de usar. Ideal para todo tipo de cabello, su diseño no térmico asegura que no dañará tus mechones. Recibirás un cepillo en un color que se enviará según disponibilidad, garantizando una sorpresa agradable. ¡Haz de tu rutina de cuidado capilar un momento de placer con este práctico y elegante cepillo!","Cepillos para pelo","MLC2912115520","U3060344774","https://articulo.mercadolibre.cl/MLC-2912115520","https://http2.mlstatic.com/D_NQ_NP_2X_606812-MLA92175224480_092025-F.webp","1","Con stock"
"Ventosa Desabollar Abolladuras Abollones Naranja","4990","Ventosa Desabollar Abolladuras Abollones Naranja de buena calidad, ideal para uso diario. Producto práctico y funcional.","Ventosas para sacar abolladuras","MLC1599823079","U3134348538","https://articulo.mercadolibre.cl/MLC-1599823079","https://http2.mlstatic.com/D_NQ_NP_2X_765198-MLC88730054968_072025-F.webp","1","Con stock"
"Sani Stick 12 Barras Limpia Cañerías Y Malos Olores","850","Descubre el 'Kit 12 Barras Limpia Cañerías Destapa Tuberías Malos Olores', la solución ideal para mantener tus tuberías en óptimas condiciones. Con una barra al mes, podrás prevenir olores desagradables de manera efectiva. Estas barras, elaboradas con 100% enzima fuerte, son capaces de descomponer y digerir sedimentos y grasas orgánicas, garantizando un sistema de drenaje limpio y funcional en la cocina, el baño y otras áreas. Además, su fórmula antibacteriana asegura que tus tuberías y tanques sépticos se mantengan seguros y libres de obstrucciones. Cada kit incluye 12 piezas de 10 cm, perfectas para un uso prolongado y eficiente. No dejes que los malos olores arruinen tu hogar; elige Sani Stick y disfruta de un ambiente fresco y limpio.","Paños de limpieza","MLC1605453917","U3149170771","https://articulo.mercadolibre.cl/MLC-1605453917","https://http2.mlstatic.com/D_NQ_NP_2X_674424-MLA99370108638_112025-F.webp","1","Con stock"
"Exprimidor Manual Simple Frutas Citricos Limon Cocina","2290","Exprimidor Manual Simple Frutas Citricos Limon Cocina de buena calidad, ideal para uso diario. Producto práctico y funcional.","Exprimidores manuales de cocina","MLC1654709219","U3328712118","https://articulo.mercadolibre.cl/MLC-1654709219","https://http2.mlstatic.com/D_NQ_NP_2X_926542-MLC88768210697_072025-F.webp","1","Con stock"
"Pack 3 Alarma Para Puerta Ventana Con Sensor Magnético 90db","3890","Pack de 03 sensores alarma para puertas y ventanas.

Esta alarma de puerta y ventana adopta tecnología avanzada; se activa al abrir puertas o ventanas.

Descripción:

1. El interruptor del sensor magnético detecta la entrada.
2. Protección contra intrusos, ya sea que estés dentro o fuera.
3. Instalación sencilla del sensor principal en la puerta/ventana y colocación del palo junto al sensor principal en el marco con cinta adhesiva (incluida).
4. Interruptor de encendido/apagado: en ""encendido"", el sensor emite una señal de alarma al abrir tu puerta o ventana.
5. Alarma de 90 dB.
6. Alimentación por 3 * 1,5 V LR44 pila de botón (incluida).
7. Intensidad de la sirena: 90 dB.

Características:

Montaje sencillo con cinta adhesiva a la ventana o puerta.
El interruptor de sensor magnético detecta la entrada protegiendo tu hogar o oficina.
Pegatina de advertencia para puerta/ventana incluida.

Manual de Instrucciones:

1. Fija la unidad principal en el lado de la puerta/ventana con cinta adhesiva de doble cara. Alinea el imán de la barra al marco de la puerta/ventana con la referencia de la Unidad Principal.
2. Verifica la configuración cambiando el interruptor del sistema a la posición de la unidad principal y comprueba si la alarma se activa al abrir la puerta/ventana.

El paquete incluye:
3 x Sensores Magnéticos.","Alarmas y sensores para el hogar","MLC2853805734","U3039717063","https://articulo.mercadolibre.cl/MLC-2853805734","https://http2.mlstatic.com/D_NQ_NP_2X_626916-MLA99623100496_122025-F.webp","1","Con stock"
"Botella De Viaje De Silicona 11 Piezas Dispensador De Shamp","4190","Botella De Viaje De Silicona 11 Piezas Dispensador De Shamp de buena calidad, ideal para uso diario. Producto práctico y funcional.","Contenedores de alimentos","MLC2861866604","U3089857530","https://articulo.mercadolibre.cl/MLC-2861866604","https://http2.mlstatic.com/D_NQ_NP_2X_641687-MLC83306461187_032025-F.webp","1","Con stock"
